KOI,P_ttv [cycles],amplitude_ttv [min],delta_BIC,P_lin,P_ttv [days],nplanets
271.03,8.338883708538697,17.460243734993846,79.08797263806184,14.436090760786335,120.38088206010718,1
274.01,63.14392523364486,71.64357527666215,267.44723728293167,15.089185809189534,952.7904205720388,1
274.02,40.15384615384615,113.65796452465472,290.6111853976318,22.8035973780803,915.652140873686,1
275.01,2.780268434595146,12.496217975458547,31.448010408238616,15.791944156371011,43.9058438588476,1
276.01,4.323258869908016,4.303583726005635,15.792049479324774,41.74594311656011,180.478518861344,0
277.01,27.532248578710057,120.88035318185104,27611.464785196364,16.23207049147238,446.90539971836193,1
277.02,32.002738319356496,176.34927329880475,2032.803014160026,13.848924362940064,443.2035023917317,1
279.01,45.991983967935866,3.144265051872219,29.256162517493053,28.45496183742416,1308.7001486350389,1
279.02,2.417512049974769,14.196023917317072,67.64745917736406,15.413177243497918,37.26154171455311,1
282.02,344.0,167.25238622263103,93.78021836004416,8.459146382268703,2909.9463555004336,1
283.02,9.572877736252002,48.07597787397941,71.0910929097974,25.51654285600081,244.26674501233023,1
284.02,2.3513420566738894,15.30256199754608,95.7512435858248,6.414965443114794,15.083778038505468,1
